tag,pos_tag,prev_next,frequency
A,A,prev,3
A,ADP,prev,3
A,ADV,prev,1
A,ADVO,prev,1
A,ADVRA,prev,1
A,ADVRC,prev,1
A,ADVT,prev,2
A,ART,prev,1
A,ASSUM,prev,1
A,CCONJ,prev,1
A,CERT,prev,1
A,COP,prev,2
A,CQ,prev,1
A,DEMS,prev,4
A,DEMX,prev,2
A,FUT,prev,2
A,INT,prev,1
A,N,prev,129
A,NEG,prev,7
A,None,prev,14
A,PFV,prev,1
A,PRON,prev,17
A,PRON2,prev,1
A,PROPN,prev,2
A,PUNCT,prev,25
A,REL,prev,1
A,RELF,prev,1
A,RPRT,prev,2
A,SCONJ,prev,1
A,SCONJR,prev,1
A,V,prev,11
A2,ADVA,prev,1
A2,ADVT,prev,2
A2,ART,prev,1
A2,DEMX,prev,1
A2,N,prev,3
A2,NEG,prev,1
A2,None,prev,2
A2,PRON,prev,7
A2,PRON2,prev,46
A2,RPRT,prev,1
A2,V,prev,1
ADP,A,prev,12
ADP,ADP,prev,9
ADP,ADVA,prev,5
ADP,ADVC,prev,1
ADP,ADVDX,prev,17
ADP,ADVT,prev,2
ADP,COP,prev,5
ADP,CQ,prev,1
ADP,DEMS,prev,1
ADP,DEMX,prev,1
ADP,IND,prev,7
ADP,INT,prev,7
ADP,N,prev,455
ADP,NEG,prev,1
ADP,None,prev,1
ADP,PRON,prev,34
ADP,PRON2,prev,140
ADP,PROPN,prev,21
ADP,PUNCT,prev,1
ADP,REL,prev,20
ADP,TOT,prev,1
ADP,V,prev,5
ADV,A,prev,2
ADV,ADP,prev,4
ADV,ADVA,prev,1
ADV,ADVDI,prev,1
ADV,ADVT,prev,1
ADV,AUXFR,prev,1
ADV,CCONJ,prev,1
ADV,DEMS,prev,1
ADV,EXST,prev,2
ADV,FOC,prev,3
ADV,FUT,prev,1
ADV,N,prev,5
ADV,NEG,prev,3
ADV,PRON,prev,4
ADV,PROPN,prev,1
ADV,PUNCT,prev,2
ADV,RPRT,prev,1
ADV,V,prev,17
ADV,V2,prev,1
ADVA,ADP,prev,3
ADVA,ADVJ,prev,2
ADVA,ADVT,prev,1
ADVA,AUXFS,prev,2
ADVA,CCONJ,prev,1
ADVA,COND,prev,1
ADVA,CQ,prev,1
ADVA,DEMS,prev,1
ADVA,FRUST,prev,1
ADVA,FUT,prev,1
ADVA,IND,prev,1
ADVA,N,prev,3
ADVA,NEG,prev,1
ADVA,None,prev,20
ADVA,PFV,prev,1
ADVA,PRON,prev,3
ADVA,PUNCT,prev,27
ADVA,REL,prev,2
ADVA,RPRT,prev,1
ADVA,SCONJ,prev,3
ADVA,SCONJR,prev,1
ADVA,V,prev,26
ADVA,V2,prev,1
ADVA,V3,prev,1
ADVC,ADVT,prev,1
ADVC,AUXN,prev,1
ADVC,FUT,prev,1
ADVC,N,prev,2
ADVC,None,prev,2
ADVC,PQ,prev,2
ADVC,PUNCT,prev,5
ADVC,RPRT,prev,1
ADVC,V,prev,8
ADVDI,ADP,prev,1
ADVDI,AUXN,prev,1
ADVDI,CCONJ,prev,1
ADVDI,COP,prev,1
ADVDI,N,prev,1
ADVDI,None,prev,10
ADVDI,PUNCT,prev,4
ADVDI,REL,prev,1
ADVDI,RPRT,prev,1
ADVDI,SCONJ,prev,3
ADVDI,TOTAL,prev,1
ADVDI,V,prev,6
ADVDX,ADP,prev,1
ADVDX,ADVC,prev,1
ADVDX,ADVS,prev,1
ADVDX,ADVT,prev,2
ADVDX,COP,prev,7
ADVDX,FRUST,prev,1
ADVDX,FUT,prev,1
ADVDX,N,prev,2
ADVDX,None,prev,3
ADVDX,PFV,prev,1
ADVDX,PQ,prev,1
ADVDX,PRON,prev,2
ADVDX,PUNCT,prev,1
ADVDX,SCONJ,prev,1
ADVDX,TOTAL,prev,1
ADVDX,V,prev,17
ADVG,A,prev,10
ADVG,ADVA,prev,2
ADVG,ADVS,prev,1
ADVG,ADVT,prev,2
ADVG,V,prev,2
ADVJ,None,prev,30
ADVJ,PUNCT,prev,17
ADVLA,A,prev,1
ADVLA,N,prev,1
ADVLA,None,prev,1
ADVLC,ADP,prev,1
ADVLC,N,prev,7
ADVLC,None,prev,2
