tag,pos_tag,prev_next,frequency
???,???,prev,1
???,ADP,prev,2
???,ADVT,prev,1
???,CQ,prev,1
???,FUT,prev,1
???,INTJ,prev,1
???,N,prev,10
???,NEG,prev,5
???,None,prev,17
???,PRON,prev,2
???,PRON2,prev,4
???,PROPN,prev,5
???,PUNCT,prev,14
???,REL,prev,1
???,V,prev,7
A,ADVR,prev,1
A,FUT,prev,1
A,N,prev,13
A,None,prev,5
A,PFV,prev,1
A,PRON,prev,1
A,PROPN,prev,2
A,V,prev,7
A2,N,prev,5
A2,None,prev,1
A2,PRON2,prev,9
A2,PROPN,prev,1
A2,V,prev,3
ADP,???,prev,2
ADP,ADVDI,prev,1
ADP,ADVT,prev,1
ADP,DEMS,prev,4
ADP,IND,prev,2
ADP,N,prev,111
ADP,PRON2,prev,25
ADP,PROPN,prev,18
ADP,REL,prev,1
ADP,V,prev,10
ADV,A,prev,1
ADV,EXST,prev,2
ADV,N,prev,4
ADV,NEG,prev,2
ADV,V,prev,4
ADVA,ADVRU,prev,2
ADVA,N,prev,1
ADVA,V,prev,6
ADVDI,DEMS,prev,1
ADVDI,FUT,prev,1
ADVDI,None,prev,1
ADVDI,V,prev,8
ADVDX,A2,prev,1
ADVDX,ADVT,prev,1
ADVDX,FUT,prev,1
ADVDX,PFV,prev,1
ADVDX,V,prev,12
ADVJ,None,prev,2
ADVR,None,prev,1
ADVR,PUNCT,prev,1
ADVRU,PUNCT,prev,2
ADVS,A,prev,2
ADVS,A2,prev,2
ADVS,PFV,prev,2
ADVS,V,prev,6
ADVT,ADP,prev,2
ADVT,ADVDX,prev,1
ADVT,FUT,prev,1
ADVT,IND,prev,1
ADVT,N,prev,4
ADVT,NEG,prev,6
ADVT,None,prev,24
ADVT,PFV,prev,2
ADVT,PUNCT,prev,7
ADVT,SCONJR,prev,1
ADVT,V,prev,7
AFF,PUNCT,prev,3
ASSUM,PRON2,prev,5
CARD,ADP,prev,1
CARD,ADVDI,prev,1
CARD,TOT,prev,1
CARD,V,prev,2
CONS,PUNCT,prev,4
CQ,ADP,prev,2
CQ,ADVT,prev,1
CQ,N,prev,5
DEMS,A,prev,1
DEMS,ADP,prev,1
DEMS,ADV,prev,1
DEMS,CQ,prev,2
DEMS,None,prev,9
DEMS,PUNCT,prev,7
DEMS,V,prev,6
DEMX,None,prev,1
EXST,ADP,prev,2
EXST,CQ,prev,1
EXST,None,prev,9
EXST,PUNCT,prev,1
EXST,RPRT,prev,1
FOC,ADVT,prev,1
FOC,FUT,prev,1
FUT,ADVT,prev,5
FUT,CQ,prev,2
FUT,FOC,prev,1
FUT,NEG,prev,4
FUT,None,prev,1
FUT,PUNCT,prev,1
FUT,V,prev,24
IND,???,prev,1
IND,A2,prev,2
IND,ADV,prev,1
IND,ADVT,prev,1
IND,FUT,prev,1
IND,None,prev,4
IND,PFV,prev,3
IND,PUNCT,prev,5
IND,REL,prev,3
IND,SCONJR,prev,2
IND,V,prev,15
INDQ,EXST,prev,3
INDQ,None,prev,4
INDQ,PFV,prev,1
INDQ,PUNCT,prev,2
INDQ,V,prev,9
INTJ,PUNCT,prev,5
N,???,prev,12
N,A,prev,8
N,ADP,prev,5
N,ADVDI,prev,1
N,ADVT,prev,9
N,CARD,prev,4
N,CQ,prev,1
N,DEMS,prev,19
N,DEMX,prev,1
N,EXST,prev,3
N,FUT,prev,8
N,IND,prev,13
N,INDQ,prev,17
N,N,prev,79
N,None,prev,81
N,ORD,prev,1
N,PFV,prev,14
N,PQ,prev,5
N,PRON,prev,6
N,PRON2,prev,165
N,PROPN,prev,29
N,PRSV,prev,6
N,PUNCT,prev,32
N,REL,prev,13
N,TOT,prev,2
N,V,prev,142
NEG,???,prev,1
NEG,ADP,prev,1
NEG,DEMS,prev,1
NEG,N,prev,10
NEG,None,prev,21
NEG,PRON,prev,16
NEG,PROPN,prev,1
NEG,PUNCT,prev,11
ORD,None,prev,1
PFV,???,prev,2
PFV,ADP,prev,1
PFV,N,prev,1
PFV,NEG,prev,3
PFV,V,prev,61
PQ,ADV,prev,2
PQ,IND,prev,1
PQ,N,prev,1
PQ,NEG,prev,3
PQ,V,prev,6
PRON,ADVR,prev,1
PRON,ADVS,prev,2
PRON,ADVT,prev,5
PRON,CQ,prev,6
PRON,FUT,prev,2
PRON,IND,prev,1
PRON,N,prev,9
PRON,None,prev,79
PRON,PQ,prev,3
PRON,PUNCT,prev,29
PRON,REL,prev,4
PRON,SCONJR,prev,1
PRON,V,prev,23
PRON2,???,prev,1
PRON2,A2,prev,1
PRON2,ADP,prev,1
PRON2,ADV,prev,1
PRON2,ADVA,prev,2
PRON2,ADVT,prev,1
PRON2,CQ,prev,1
PRON2,DEMS,prev,3
PRON2,EXST,prev,1
PRON2,IND,prev,1
PRON2,N,prev,28
PRON2,NEG,prev,1
PRON2,None,prev,55
PRON2,PFV,prev,4
PRON2,PQ,prev,1
PRON2,PRON,prev,14
PRON2,PRSV,prev,1
PRON2,PUNCT,prev,15
PRON2,REL,prev,5
PRON2,V,prev,84
PRON2,V2,prev,1
PROPN,???,prev,3
PROPN,ADP,prev,3
PROPN,ADVS,prev,1
PROPN,ADVT,prev,1
PROPN,CQ,prev,1
PROPN,FUT,prev,3
PROPN,N,prev,10
PROPN,None,prev,103
PROPN,PFV,prev,2
PROPN,PRON,prev,2
PROPN,PROPN,prev,17
PROPN,PUNCT,prev,36
PROPN,REL,prev,3
PROPN,V,prev,18
PRSV,None,prev,5
PRSV,PUNCT,prev,2
PUNCT,???,prev,36
PUNCT,A,prev,12
PUNCT,A2,prev,13
PUNCT,ADP,prev,158
PUNCT,ADV,prev,6
PUNCT,ADVA,prev,5
PUNCT,ADVDI,prev,7
PUNCT,ADVDX,prev,13
PUNCT,ADVJ,prev,1
PUNCT,ADVS,prev,11
PUNCT,ADVT,prev,22
PUNCT,AFF,prev,3
PUNCT,CARD,prev,1
PUNCT,CONS,prev,4
PUNCT,CQ,prev,2
PUNCT,DEMS,prev,4
PUNCT,FUT,prev,4
PUNCT,IND,prev,6
PUNCT,INTJ,prev,4
PUNCT,N,prev,199
PUNCT,NEG,prev,5
PUNCT,None,prev,62
PUNCT,PFV,prev,19
PUNCT,PRON,prev,14
PUNCT,PROPN,prev,41
PUNCT,PUNCT,prev,39
PUNCT,REL,prev,5
PUNCT,RPRT,prev,38
PUNCT,TOT,prev,2
PUNCT,V,prev,123
PUNCT,V2,prev,12
REL,???,prev,1
REL,N,prev,7
REL,PFV,prev,1
REL,V,prev,24
RPRT,ADP,prev,1
RPRT,PUNCT,prev,38
RPRT,V,prev,1
SCONJR,None,prev,5
SCONJR,PQ,prev,1
SCONJR,PUNCT,prev,4
TOT,None,prev,6
TOT,V,prev,3
V,???,prev,5
V,A,prev,2
V,A2,prev,4
V,ADP,prev,11
V,ADV,prev,7
V,ADVA,prev,1
V,ADVS,prev,3
V,ADVT,prev,9
V,CQ,prev,16
V,FUT,prev,12
V,IND,prev,8
V,N,prev,93
V,NEG,prev,33
V,None,prev,111
V,PFV,prev,8
V,PQ,prev,2
V,PRON,prev,79
V,PROPN,prev,80
V,PUNCT,prev,78
V,REL,prev,3
V,SCONJR,prev,4
V,TOT,prev,1
V,V,prev,83
V2,PRON2,prev,7
???,???,next,1
???,ADP,next,2
???,IND,next,1
???,N,next,12
???,NEG,next,1
???,None,next,1
???,PFV,next,2
???,PRON2,next,1
???,PROPN,next,3
???,PUNCT,next,36
???,REL,next,1
???,V,next,5
A,ADV,next,1
A,ADVS,next,2
A,DEMS,next,1
A,N,next,8
A,None,next,1
A,PUNCT,next,12
A,V,next,2
A2,ADVDX,next,1
A2,ADVS,next,2
A2,IND,next,2
A2,None,next,1
A2,PRON2,next,1
A2,PUNCT,next,13
A2,V,next,4
ADP,???,next,2
ADP,ADVT,next,2
ADP,CARD,next,1
ADP,CQ,next,2
ADP,DEMS,next,1
ADP,EXST,next,2
ADP,N,next,5
ADP,NEG,next,1
ADP,None,next,5
ADP,PFV,next,1
ADP,PRON2,next,1
ADP,PROPN,next,3
ADP,PUNCT,next,158
